카테고리,메뉴,칼로리,당류,단백질,나트륨,포화지방,카페인
콜드 브루,씨솔트 카라멜 콜드 브루,150.0,18.0,1.0,110.0,6.0,130.0
콜드 브루,나이트로 바닐라 크림,80.0,10.0,1.0,40.0,2.0,232.0
콜드 브루,나이트로 콜드 브루,5.0,0.0,0.0,5.0,0.0,245.0
콜드 브루,돌체 콜드 브루,220.0,22.0,6.0,80.0,6.0,155.0
콜드 브루,리저브 나이트로,5.0,0.0,0.0,0.0,0.0,190.0
콜드 브루,리저브 콜드 브루,5.0,0.0,0.0,0.0,0.0,190.0
콜드 브루,막걸리향 크림 콜드 브루,300.0,32.0,3.0,65.0,13.0,53.0
콜드 브루,민트 콜드 브루,100.0,23.0,0.0,0.0,0.0,415.0
콜드 브루,바닐라 크림 콜드 브루,125.0,11.0,3.0,58.0,6.0,155.0
콜드 브루,시그니처 더 블랙 콜드 브루,25.0,0.0,0.0,50.0,0.0,680.0
콜드 브루,여수 윤슬 헤이즐넛 콜드브루,240.0,27.0,5.0,80.0,9.0,53.0
콜드 브루,오트 콜드 브루,120.0,14.0,1.0,95.0,0.3,65.0
콜드 브루,제주 비자림 리저브 콜드 브루,205.0,26.0,8.0,100.0,4.1,250.0
콜드 브루,콜드 브루,5.0,0.0,0.0,11.0,0.0,155.0
콜드 브루,콜드 브루(Trenta),5.0,0.0,0.0,25.0,0.0,360.0
콜드 브루,콜드 브루 몰트,505.0,41.0,7.0,150.0,20.0,190.0
콜드 브루,콜드 브루 플로트,225.0,18.0,3.0,70.0,10.0,190.0
콜드 브루,흑임자 크림 콜드 브루,220.0,16.0,2.0,40.0,13.0,200.0
브루드 커피,아이스 커피,5.0,0.0,0.0,10.0,0.0,140.0
브루드 커피,오늘의 커피,5.0,0.0,0.0,15.0,0.0,260.0
에스프레소,슈크림 라떼,295.0,29.0,9.0,170.0,10.0,75.0
에스프레소,아이스 슈크림 라떼,255.0,25.0,6.0,120.0,10.0,75.0
에스프레소,에스프레소 콘 파나,30.0,0.0,1.0,5.0,2.0,75.0
에스프레소,에스프레소 마키아또,10.0,0.0,0.0,0.0,0.0,75.0
에스프레소,스타벅스 1호점 카페 아메리카노,10.0,0.0,1.0,0.0,0.0,210.0
에스프레소,아이스 스타벅스 1호점 카페 아메리카노,10.0,0.0,1.0,0.0,0.0,210.0
에스프레소,아이스 카페 아메리카노,10.0,0.0,1.0,5.0,0.0,150.0
에스프레소,카페 아메리카노,10.0,0.0,1.0,5.0,0.0,150.0
에스프레소,아이스 카라멜 마키아또,190.0,22.0,6.0,110.0,4.6,75.0
에스프레소,카라멜 마키아또,200.0,22.0,8.0,130.0,5.0,75.0
에스프레소,아이스 카푸치노,110.0,9.0,6.0,90.0,3.5,75.0
에스프레소,카푸치노,110.0,8.0,6.0,70.0,3.0,75.0
